scenario	language	family	rep	title	task_file
R1	go	huyang	1	bench haiku R1 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R1-go-huyang-r1-20260912-121640.md
R1	go	huyang	2	bench haiku R1 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R1-go-huyang-r2-20260912-121641.md
R1	go	huyang	3	bench haiku R1 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R1-go-huyang-r3-20260912-121642.md
R1	go	builtin	1	bench haiku R1 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R1-go-builtin-r1-20260912-121644.md
R1	go	builtin	2	bench haiku R1 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R1-go-builtin-r2-20260912-121645.md
R1	go	builtin	3	bench haiku R1 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R1-go-builtin-r3-20260912-121646.md
R1	go	bash	1	bench haiku R1 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R1-go-bash-r1-20260912-121647.md
R1	go	bash	2	bench haiku R1 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R1-go-bash-r2-20260912-121648.md
R1	go	bash	3	bench haiku R1 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R1-go-bash-r3-20260912-121649.md
R2	go	huyang	1	bench haiku R2 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R2-go-huyang-r1-20260912-121650.md
R2	go	huyang	2	bench haiku R2 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R2-go-huyang-r2-20260912-121651.md
R2	go	huyang	3	bench haiku R2 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R2-go-huyang-r3-20260912-121652.md
R2	go	builtin	1	bench haiku R2 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R2-go-builtin-r1-20260912-121654.md
R2	go	builtin	2	bench haiku R2 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R2-go-builtin-r2-20260912-121655.md
R2	go	builtin	3	bench haiku R2 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R2-go-builtin-r3-20260912-121656.md
R2	go	bash	1	bench haiku R2 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R2-go-bash-r1-20260912-121657.md
R2	go	bash	2	bench haiku R2 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R2-go-bash-r2-20260912-121658.md
R2	go	bash	3	bench haiku R2 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R2-go-bash-r3-20260912-121659.md
R3	go	huyang	1	bench haiku R3 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R3-go-huyang-r1-20260912-121700.md
R3	go	huyang	2	bench haiku R3 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R3-go-huyang-r2-20260912-121702.md
R3	go	huyang	3	bench haiku R3 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R3-go-huyang-r3-20260912-121703.md
R3	go	builtin	1	bench haiku R3 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R3-go-builtin-r1-20260912-121704.md
R3	go	builtin	2	bench haiku R3 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R3-go-builtin-r2-20260912-121705.md
R3	go	builtin	3	bench haiku R3 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R3-go-builtin-r3-20260912-121706.md
R3	go	bash	1	bench haiku R3 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R3-go-bash-r1-20260912-121707.md
R3	go	bash	2	bench haiku R3 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R3-go-bash-r2-20260912-121708.md
R3	go	bash	3	bench haiku R3 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-haiku-R3-go-bash-r3-20260912-121709.md
