scenario	language	family	rep	title	task_file
R1	go	huyang	1	bench x33 R1 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R1-go-huyang-r1-20260913-144753.md
R1	go	huyang	2	bench x33 R1 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R1-go-huyang-r2-20260913-144754.md
R1	go	huyang	3	bench x33 R1 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R1-go-huyang-r3-20260913-144755.md
R1	go	builtin	1	bench x33 R1 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R1-go-builtin-r1-20260913-144757.md
R1	go	builtin	2	bench x33 R1 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R1-go-builtin-r2-20260913-144758.md
R1	go	builtin	3	bench x33 R1 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R1-go-builtin-r3-20260913-144759.md
R1	go	bash	1	bench x33 R1 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R1-go-bash-r1-20260913-144800.md
R1	go	bash	2	bench x33 R1 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R1-go-bash-r2-20260913-144801.md
R1	go	bash	3	bench x33 R1 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R1-go-bash-r3-20260913-144803.md
R2	go	huyang	1	bench x33 R2 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R2-go-huyang-r1-20260913-144804.md
R2	go	huyang	2	bench x33 R2 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R2-go-huyang-r2-20260913-144805.md
R2	go	huyang	3	bench x33 R2 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R2-go-huyang-r3-20260913-144806.md
R2	go	builtin	1	bench x33 R2 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R2-go-builtin-r1-20260913-144807.md
R2	go	builtin	2	bench x33 R2 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R2-go-builtin-r2-20260913-144808.md
R2	go	builtin	3	bench x33 R2 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R2-go-builtin-r3-20260913-144810.md
R2	go	bash	1	bench x33 R2 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R2-go-bash-r1-20260913-144811.md
R2	go	bash	2	bench x33 R2 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R2-go-bash-r2-20260913-144812.md
R2	go	bash	3	bench x33 R2 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R2-go-bash-r3-20260913-144813.md
R3	go	huyang	1	bench x33 R3 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R3-go-huyang-r1-20260913-144814.md
R3	go	huyang	2	bench x33 R3 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R3-go-huyang-r2-20260913-144816.md
R3	go	huyang	3	bench x33 R3 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R3-go-huyang-r3-20260913-144817.md
R3	go	builtin	1	bench x33 R3 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R3-go-builtin-r1-20260913-144818.md
R3	go	builtin	2	bench x33 R3 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R3-go-builtin-r2-20260913-144819.md
R3	go	builtin	3	bench x33 R3 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R3-go-builtin-r3-20260913-144821.md
R3	go	bash	1	bench x33 R3 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R3-go-bash-r1-20260913-144822.md
R3	go	bash	2	bench x33 R3 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R3-go-bash-r2-20260913-144823.md
R3	go	bash	3	bench x33 R3 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R3-go-bash-r3-20260913-144824.md
R4	go	huyang	1	bench x33 R4 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R4-go-huyang-r1-20260913-144826.md
R4	go	huyang	2	bench x33 R4 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R4-go-huyang-r2-20260913-144827.md
R4	go	huyang	3	bench x33 R4 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R4-go-huyang-r3-20260913-144828.md
R4	go	builtin	1	bench x33 R4 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R4-go-builtin-r1-20260913-144829.md
R4	go	builtin	2	bench x33 R4 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R4-go-builtin-r2-20260913-144830.md
R4	go	builtin	3	bench x33 R4 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R4-go-builtin-r3-20260913-144832.md
R4	go	bash	1	bench x33 R4 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R4-go-bash-r1-20260913-144833.md
R4	go	bash	2	bench x33 R4 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R4-go-bash-r2-20260913-144834.md
R4	go	bash	3	bench x33 R4 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-R4-go-bash-r3-20260913-144835.md
E1	go	huyang	1	bench x33 E1 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E1-go-huyang-r1-20260913-144836.md
E1	go	huyang	2	bench x33 E1 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E1-go-huyang-r2-20260913-144837.md
E1	go	huyang	3	bench x33 E1 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E1-go-huyang-r3-20260913-144839.md
E1	go	builtin	1	bench x33 E1 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E1-go-builtin-r1-20260913-144840.md
E1	go	builtin	2	bench x33 E1 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E1-go-builtin-r2-20260913-144841.md
E1	go	builtin	3	bench x33 E1 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E1-go-builtin-r3-20260913-144842.md
E1	go	bash	1	bench x33 E1 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E1-go-bash-r1-20260913-144843.md
E1	go	bash	2	bench x33 E1 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E1-go-bash-r2-20260913-144845.md
E1	go	bash	3	bench x33 E1 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E1-go-bash-r3-20260913-144846.md
E2	go	huyang	1	bench x33 E2 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E2-go-huyang-r1-20260913-144847.md
E2	go	huyang	2	bench x33 E2 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E2-go-huyang-r2-20260913-144848.md
E2	go	huyang	3	bench x33 E2 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E2-go-huyang-r3-20260913-144850.md
E2	go	builtin	1	bench x33 E2 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E2-go-builtin-r1-20260913-144853.md
E2	go	builtin	2	bench x33 E2 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E2-go-builtin-r2-20260913-144855.md
E2	go	builtin	3	bench x33 E2 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E2-go-builtin-r3-20260913-144856.md
E2	go	bash	1	bench x33 E2 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E2-go-bash-r1-20260913-144857.md
E2	go	bash	2	bench x33 E2 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E2-go-bash-r2-20260913-144858.md
E2	go	bash	3	bench x33 E2 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E2-go-bash-r3-20260913-144859.md
E3	go	huyang	1	bench x33 E3 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E3-go-huyang-r1-20260913-144901.md
E3	go	huyang	2	bench x33 E3 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E3-go-huyang-r2-20260913-144902.md
E3	go	huyang	3	bench x33 E3 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E3-go-huyang-r3-20260913-144903.md
E3	go	builtin	1	bench x33 E3 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E3-go-builtin-r1-20260913-144905.md
E3	go	builtin	2	bench x33 E3 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E3-go-builtin-r2-20260913-144906.md
E3	go	builtin	3	bench x33 E3 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E3-go-builtin-r3-20260913-144907.md
E3	go	bash	1	bench x33 E3 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E3-go-bash-r1-20260913-144908.md
E3	go	bash	2	bench x33 E3 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E3-go-bash-r2-20260913-144910.md
E3	go	bash	3	bench x33 E3 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E3-go-bash-r3-20260913-144911.md
E4	go	huyang	1	bench x33 E4 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E4-go-huyang-r1-20260913-144912.md
E4	go	huyang	2	bench x33 E4 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E4-go-huyang-r2-20260913-144913.md
E4	go	huyang	3	bench x33 E4 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E4-go-huyang-r3-20260913-144915.md
E4	go	builtin	1	bench x33 E4 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E4-go-builtin-r1-20260913-144916.md
E4	go	builtin	2	bench x33 E4 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E4-go-builtin-r2-20260913-144917.md
E4	go	builtin	3	bench x33 E4 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E4-go-builtin-r3-20260913-144919.md
E4	go	bash	1	bench x33 E4 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E4-go-bash-r1-20260913-144920.md
E4	go	bash	2	bench x33 E4 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E4-go-bash-r2-20260913-144921.md
E4	go	bash	3	bench x33 E4 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E4-go-bash-r3-20260913-144922.md
